iter	MultiClass
0	3.542926087
1	3.520926614
2	3.502378448
3	3.485927149
4	3.475368423
5	3.46437553
6	3.455393722
7	3.442891441
8	3.436409979
9	3.429354277
10	3.425002203
11	3.417468866
12	3.406071886
13	3.400858536
14	3.391787859
15	3.379860653
16	3.372452602
17	3.36863944
18	3.361037903
19	3.355178229
20	3.351539033
21	3.344426259
22	3.340122647
23	3.333941034
24	3.328569206
25	3.32462008
26	3.319366344
27	3.313869322
28	3.310469338
29	3.307023764
30	3.302513538
31	3.299342359
32	3.294361588
33	3.290314395
34	3.286628656
35	3.284199276
36	3.278969653
37	3.274735632
38	3.269995507
39	3.266281479
40	3.262967252
41	3.25553496
42	3.251271039
43	3.244516561
44	3.239898696
45	3.235223853
46	3.232029054
47	3.229712158
48	3.227263586
49	3.223819528
