iter	Passed	Remaining
0	192	9451
1	222	5347
2	254	3984
3	287	3310
4	325	2926
5	363	2666
6	402	2470
7	435	2286
8	469	2139
9	506	2025
10	540	1917
11	570	1805
12	598	1703
13	627	1613
14	656	1531
15	685	1457
16	717	1391
17	750	1333
18	785	1281
19	814	1222
20	845	1167
21	875	1113
22	904	1061
23	933	1010
24	960	960
25	994	917
26	1027	875
27	1058	831
28	1089	788
29	1120	747
30	1151	705
31	1180	664
32	1210	623
33	1239	583
34	1268	543
35	1300	505
36	1329	467
37	1358	429
38	1388	391
39	1417	354
40	1446	317
41	1475	281
42	1505	245
43	1534	209
44	1563	173
45	1592	138
46	1624	103
47	1656	69
48	1686	34
49	1714	0
